processing_time_seconds
79.7
58
58
75
68
55
75
70
64.8
64
79.8
64
59
64
76.5
62
68
60
56
70
61.7
65
78
58
61.7
75
53
69
63
67
74.5
62
62
70.5
60
59.5
67
66
58
73
62
66
66.5
59
67.6
68.6
64
61
59
59
57
71.5
74.5
66
59
65
66
66
57
69.7
66.5
66.5
57.5
67
62.8
73.2
71
62
61.2
68
61.3
57.5
66
68.5
68
68
74.5
68
57.5
62.2
62
54
72.5
62
68.5
68
70.3
57
64
55
67
61.5
64.5
72.5
69
64
56.5
65.2
56.5
58
58
59.5
64
61.3
64
58
75.5
62.4
64.6
62.5
57
52
64
66.1
64.7
63
60
52.9
54
55
